Address,Name,Privilege,Access,Description,shared,Type,width,rdata,sign_ext_rdata,wdata,shadow,resetVal,aon,reset,triggerCnt,latch,implemented,ifdef,trap_if,comment
User-Level CSRs,,,,,,,,,,,,,,,,,,,,
User Trap Setup,,,,,,,,,,,,,,,,,,,,
0x000,ustatus,user,RW-HWIRED,User status register,YES,,0,64'h0,,,,,,NON-DEBUG,,,NO,,,"Hardwired to 0, no user-level interrupts/xcpts"
0x004,uie,user,RW-HWIRED,User interrupt-enable register,YES,,0,64'h0,,,,,,NON-DEBUG,,,NO,,,Hardwired to 0
0x005,utvec,user,RW-HWIRED,User trap handler base address,YES,,0,64'h0,,,,,,NON-DEBUG,,,NO,,,
User Trap Handling,,,,,,,,,,,,,,,,,,,,
0x040,uscratch,user,RW-HWIRED,Scratch register for user trap handlers,YES,,0,64'h0,,,,,,NON-DEBUG,,,NO,,,Hardwired to 0: no user-level traps
0x041,uepc,user,RW-HWIRED,User exception program counter,YES,,0,64'h0,,,,,,NON-DEBUG,,,NO,,,Hardwired to 0: no user-level traps
0x042,ucause,user,RW-HWIRED,User trap cause,YES,,0,64'h0,,,,,,NON-DEBUG,,,NO,,,Hardwired to 0: no user-level traps
0x043,utval,user,RW-HWIRED,User bad address or instruction,YES,,0,64'h0,,,,,,NON-DEBUG,,,NO,,,
0x044,uip,user,RW-HWIRED,User interrupt pending,YES,,0,64'h0,,,,,YES,NON-DEBUG,,,NO,,,Hardwired to 0
User Floating-Point CSRs,,,,,,,,,,,,,,,,,,,,
0x001,fflags,user,RW,Floating-Point Accrued Exceptions,NO,csr_fflags_t,,read_fflags,,,fcsr,,YES,NON-DEBUG,,,YES,,,
0x002,frm,user,RW,Floating-Point Dynamic Rounding Mode,NO,csr_frm_t,,,,,fcsr,,YES,NON-DEBUG,,,YES,,,
0x003,fcsr,user,RW,Floating-Point Control and Status Register (frm + fflags),NO,csr_fcsr_t,,read_fcsr,,,,,YES,NON-DEBUG,,NO,YES,,,
User Counter/Timers,,,,,,,,,,,,,,,,,,,,
0xC00,cycle,user,RO,Cycle counter for RDCYCLE instruction,YES,,,,,,mcycle,,,NON-DEBUG,,,YES,,,shadow of mcycle
0xC01,time,user,RO,Timer for RDTIME instruction (shadow of mtime),,,,,,,,,,NON-DEBUG,,,NO,,,shadow of memmaped mtime
0xC02,instret,user,RO,Instructions-retired counter for RDINSTRET instruction,NO,,,,,,minstret,,,NON-DEBUG,,,YES,,,shadow of minstret
0xC03,hpmcounter3,user,RO,Performance-monitoring counter,NO,,,,,,mhpmcounter3,,,NON-DEBUG,,,YES,,,shadow of mhpmcounter3
0xC04,hpmcounter4,user,RO,Performance-monitoring counter,NO,,,,,,mhpmcounter4,,,NON-DEBUG,,,YES,,,shadow of mhpmcounter4
0xC05,hpmcounter5,user,RO,Performance-monitoring counter,NO,,,,,,mhpmcounter5,,,NON-DEBUG,,,YES,,,shadow of mhpmcounter5
0xC06,hpmcounter6,user,RO,Performance-monitoring counter,NO,,,,,,mhpmcounter6,,,NON-DEBUG,,,YES,,,shadow of mhpmcounter6
0xC07,hpmcounter7,user,RO,Performance-monitoring counter,NO,,,,,,mhpmcounter7,,,NON-DEBUG,,,YES,,,
