fields,WIRI,BUS_ERR,WIRI,MIECO,WIRI,MBAD_RED,WIRI,MEIP,WIRI,SEIP,UEIP - ZERO,MTIP,WIRI,STIP,UTIP - ZERO,MSIP,WIRI,SSIP,USIP - ZERO
width,40,1,3,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1
RO,,,YES,YES,,,,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO
,,,,,,,,,,,,,,,,,,,
bit idx,63..24,23,22..20,19,18:17,16,15:12,11,10,9,8,7,6,5,4,3,2,1,0
sum bits,64,,,,,,,,,,,,1,,,1,0,1,0
,,,,,,,,,,,Note user level interrupts are not implemented,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,MBAD_RED = bad redirect,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,88AAA,,,,,,,,,
