"Offset","Position","Title","Identifier","Array","Access","Type","Reset Value","Reset Mask","Description","Documentation Source","Group","Is Implemented?","RISCV Privilege Level"
,,"","minion_csr",,"R/W","addressmap",,,"",,,,
"0x0",,"User status register","ustatus","","R","register","0","0xffffffffffffffff","This register is not implemented.","RISC-V Unprivileged","UserTrapSetup","0","user"
,"[63:0]","User status register","ustatus","","R","status","0",,"This register is not implemented.","RISC-V Unprivileged","UserTrapSetup","0","user"
"0x1",,"Floating-Point Accrued Exceptions","fflags","","R/W","register","0","0xffffffffffffffff","","RISC-V Unprivileged","UserFloatingPoint",,"user"
,"[0]","Inexact","NX","","R/W","configuration","0",,"Hardware sets this bit on an Inexact result.",,,,
,"[1]","Underflow","UF","","R/W","configuration","0",,"Hardware sets this bit when an underflow condition occurs.",,,,
,"[2]","Overflow","OF","","R/W","configuration","0",,"Hardware sets this bit when an overflow condition occurs.",,,,
,"[3]","Divide by Zero","DZ","","R/W","configuration","0",,"Hardware sets this bit when a divide-by-zero condition occurs.",,,,
,"[4]","Invalid Operation","NV","","R/W","configuration","0",,"Hardware sets this bit when an invalid operation occurs.",,,,
,"[31]","InputDenorm flag","eflags","","R/W0C","configuration","0",,"The sticky InputDenorm flag is added to the machine state to indicate that an input denormal value was flushed to zero in a floating point operation. The InputDenorm flag can be read by software from either fcsr[31] or from fflags[31]. The InputDenorm flag can be cleared by software by an explicit write to fcsr or fflags.","PRM-0",,,
"0x2",,"Floating-Point Dynamic Rounding Mode","frm","","R/W","register","0","0xffffffffffffffff","","RISC-V Unprivileged","UserFloatingPoint",,"user"
,"[2:0]","Rounding Mode","FRM","","R/W","configuration","0",,"000: RNE. Round to nearest, Ties to even.
001: RTZ. Round towards zero.
010: RDN. Round down (towards negative inifinity).
011: RUP. Round up (towards positive inifinity).
100: RMM. Round to nearest. Ties to max magnitude.
101 - 111: Invalid, reserved.",,,,
"0x3",,"Floating-Point Control and Status","fcsr","","R/W","register","0","0xffffffffffffffff","","RISC-V spec, Volume I, Section 11.2","UserFloatingPoint",,"user"
,"[0]","Inexact","NX","","R/W","configuration","0",,"Hardware sets this bit on an Inexact error condition.",,,,
,"[1]","Underflow","UF","","R/W","configuration","0",,"Hardware sets this bit on an underflow condition.",,,,
,"[2]","Overflow","OF","","R/W","configuration","0",,"Hardware sets this bit on an overflow condition.",,,,
,"[3]","Divide by Zero","DZ","","R/W","configuration","0",,"Hardware sets this bit on an divide-by-zero condition.",,,,
,"[4]","Invalid Operation","NV","","R/W","configuration","0",,"Hardware sets this bit on an invalid operation.",,,,
,"[7:5]","Rounding Mode","FRM","","R/W","configuration","0",,"This bit is set when a Rounding Mode condition occurs. This field is encoded as follows:
000: RNE. Round to nearest, Ties to even
001: RTZ. Round towards zero.
010: RDN. Round down (towards negative inifinity).
011: RUP. Round up (towards positive inifinity).
100: RMM. Round to nearest. Ties to max magnitude.
101 - 110: Invalid, reserved.
111: In instruction’s rm field, selects dynamic rounding mode; In the Rounding Mode register, this encoding is invalid.","RISC-V spec, Volume I, Section 11.2",,,
,"[31]","InputDenorm flag","eflags","","R/W0C","configuration","0",,"The sticky InputDenorm flag is added to the machine state to indicate that an input denormal value was flushed to zero in a floating point operation. The InputDenorm flag can be read by software from either fcsr[31] or from fflags[31]. The InputDenorm flag can be cleared by software by an explicit write to fcsr or fflags.","PRM-0",,,
"0x4",,"User interrupt-enable register","uie","","R","register","0","0xffffffffffffffff","This register is not implemented.","RISC-V Unprivileged","UserTrapSetup","0","user"
,"[63:0]","User interrupt-enable register","uie","","R","status","0",,"This register is not implemented.","RISC-V Unprivileged","UserTrapSetup","0","user"
"0x5",,"User trap handler base address","utvec","","R","register","0","0xffffffffffffffff","This register is not implemented.","RISC-V Unprivileged","UserTrapSetup","0","user"
,"[63:0]","User trap handler base address","utvec","","R","status","0",,"This register is not implemented.","RISC-V Unprivileged","UserTrapSetup","0","user"
"0x40",,"Scratch register for user trap handlers","uscratch","","R","register","0","0xffffffffffffffff","This register is not implemented.","RISC-V Unprivileged","UserTrapHandling","0","user"
,"[63:0]","Scratch register for user trap handlers","uscratch","","R","status","0",,"This register is not implemented.","RISC-V Unprivileged","UserTrapHandling","0","user"
"0x41",,"User exception program counter","uepc","","R","register","0","0xffffffffffffffff","This register is not implemented.","RISC-V Unprivileged","UserTrapHandling","0","user"
,"[63:0]","User exception program counter","uepc","","R","status","0",,"This register is not implemented.","RISC-V Unprivileged","UserTrapHandling","0","user"
"0x42",,"User trap cause","ucause","","R","register","0","0xffffffffffffffff","This register is not implemented.","RISC-V Unprivileged","UserTrapHandling","0","user"
,"[63:0]","User trap cause","ucause","","R","status","0",,"This register is not implemented.","RISC-V Unprivileged","UserTrapHandling","0","user"
"0x43",,"User bad address or instruction","utval","","R","register","0","0xffffffffffffffff","This register is not implemented.","RISC-V Unprivileged","UserTrapHandling","0","user"
,"[63:0]","User bad address or instruction","utval","","R","status","0",,"This register is not implemented.","RISC-V Unprivileged","UserTrapHandling","0","user"
"0x44",,"User interrupt pending","uip","","R","register","0","0xffffffffffffffff","This register is not implemented.","RISC-V Unprivileged","UserTrapHandling","0","user"
,"[63:0]","User interrupt pending","uip","","R","status","0",,"This register is not implemented.","RISC-V Unprivileged","UserTrapHandling","0","user"
"0x100",,"Supervisor status register","sstatus","","R/W","register","0","0xffffffffffffffff","The sstatus register is an SXLEN-bit read/write register keeps track of the processor’s current operating state. This register is encoded as follows. All values not shown are reserved.
63: SD.
33:32: UXL. The UXL field controls the value of XLEN for U-mode, termed UXLEN, which may differ from the value of XLEN for S-mode, termed SXLEN. The encoding of UXL is the same as that of the MXL field of the misa register. See the misa register for more information.
19: MXR. The MXR (Make eXecutable Readable) bit modifies the privilege with which loads access virtual memory. When MXR = 0, only loads from pages marked readable will succeed. When MXR = 1, loads from pages marked either readable or executable (R = 1 or X = 1) will succeed. MXR has no effect when page-based virtual memory is not in effect.
18: SUM. The SUM (Supervisor User Memory) access bit modifies the privilege with which S-mode loads and stores access virtual memory. When SUM = 0, S-mode memory accesses to pages that are accessible by U-mode will fault. When SUM = 1, these accesses are permitted. SUM has no effect when page-based virtual memory is not in effect, nor when executing in U-mode.
16:15: XS[1:0]. The XS field represents a summary of all extensions’ status and is encoded the same as FS[1:0] in bits 14:13.
14:13: FS[1:0]. The FS field encodes the status of the floating-point unit and it encoded as follows: 00: OFF. 01: INITIAL (none dirty or clean, some on. 10: CLEAN. None dirty, some clean. 11: DIRTY, some dirty.
8: SPP. The SPP bit indicates the privilege level at which a hart was executing before entering supervisor mode.
5: SPIE. The SPIE bit indicates whether supervisor-level interrupts were enabled prior to taking a supervisor-level trap.
4: UPIE. The UPIE bit indicates whether user-level interrupts were enabled prior to taking a user-level trap.
1: SIE. The SIE bit enables or disables all interrupts in supervisor mode. When SIE is clear, interrupts are not taken while in supervisor mode.
0: UIE. The UIE bit enables or disables all interrupts in user mode. When SIE is clear, interrupts are not taken while in user mode. ","RISC-V spec, volume II, Section 4.1.1.","SupervisorTrapHandling",,"supervisor"
